,cat,pid,tid,latency_us,ts,ph,node,operator,args_thread_scheduling_stats,args_input_type_shape,args_parameter_size,args_activation_size,args_node_index,args_output_size,args_provider,args_output_type_shape
0,Session,11178,11178,53923,7,X,model_loading_uri,,,,,,,,,
1,Session,11178,11178,98919,53975,X,session_initialization,,,,,,,,,
2,Node,11178,11178,1,160943,X,FusedConv_nchwc_fence_before,Conv,,,,,,,,
3,Node,11178,11178,6956,160950,X,FusedConv_nchwc,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 25, 'DistributionEnqueue': 23, 'Run': 5220, 'Wait': 1565, 'WaitRevoke': 1}, 'sub_threads': {'139996796700416': {'num_run': 1, 'core': 10}, '139996788307712': {'num_run': 1, 'core': 32}, '139996645697280': {'num_run': 1, 'core': 21}, '139996779915008': {'num_run': 1, 'core': 45}, '139996771522304': {'num_run': 1, 'core': 15}, '139996763129600': {'num_run': 1, 'core': 11}, '139996754736896': {'num_run': 1, 'core': 35}}}","[{'float': [1, 3, 1600, 1184]}, {'float': [32, 3, 3, 3]}, {'float': [32]}]",3584,22732800,119,60620800,CPUExecutionProvider,"[{'float': [1, 32, 800, 592]}]"
4,Node,11178,11178,0,167916,X,FusedConv_nchwc_fence_after,Conv,,,,,,,,
5,Node,11178,11178,0,167924,X,FusedConv_nchwc_gme_2_fence_before,Conv,,,,,,,,
6,Node,11178,11178,21859,167926,X,FusedConv_nchwc_gme_2,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 2, 'DistributionEnqueue': 1, 'Run': 20815, 'Wait': 944, 'WaitRevoke': 1}, 'sub_threads': {'139996796700416': {'num_run': 2, 'core': 40}, '139996788307712': {'num_run': 2, 'core': 32}, '139996645697280': {'num_run': 2, 'core': 21}, '139996779915008': {'num_run': 2, 'core': 45}, '139996771522304': {'num_run': 2, 'core': 15}, '139996763129600': {'num_run': 2, 'core': 11}, '139996754736896': {'num_run': 2, 'core': 35}}}","[{'float': [1, 32, 800, 592]}, {'float': [32, 32, 3, 3]}, {'float': [32]}]",36992,60620800,120,60620800,CPUExecutionProvider,"[{'float': [1, 32, 800, 592]}]"
7,Node,11178,11178,0,189796,X,FusedConv_nchwc_gme_2_fence_after,Conv,,,,,,,,
8,Node,11178,11178,1,192630,X,FusedConv_nchwc_gme_5_fence_before,Conv,,,,,,,,
9,Node,11178,11178,42821,192638,X,FusedConv_nchwc_gme_5,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 2, 'DistributionEnqueue': 1, 'Run': 41706, 'Wait': 1002, 'WaitRevoke': 1}, 'sub_threads': {'139996796700416': {'num_run': 3, 'core': 40}, '139996788307712': {'num_run': 3, 'core': 32}, '139996645697280': {'num_run': 3, 'core': 21}, '139996779915008': {'num_run': 3, 'core': 45}, '139996771522304': {'num_run': 3, 'core': 15}, '139996763129600': {'num_run': 3, 'core': 11}, '139996754736896': {'num_run': 3, 'core': 35}}}","[{'float': [1, 32, 800, 592]}, {'float': [64, 32, 3, 3]}, {'float': [64]}]",73984,60620800,121,121241600,CPUExecutionProvider,"[{'float': [1, 64, 800, 592]}]"
10,Node,11178,11178,0,235470,X,FusedConv_nchwc_gme_5_fence_after,Conv,,,,,,,,
11,Node,11178,11178,2,240190,X,MaxPool_nchwc_fence_before,MaxPool,,,,,,,,
12,Node,11178,11178,4693,240197,X,MaxPool_nchwc,MaxPool,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 2, 'DistributionEnqueue': 0, 'Run': 4110, 'Wait': 431, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 4, 'core': 40}, '139996788307712': {'num_run': 4, 'core': 32}, '139996645697280': {'num_run': 4, 'core': 21}, '139996779915008': {'num_run': 4, 'core': 45}, '139996771522304': {'num_run': 4, 'core': 15}, '139996763129600': {'num_run': 4, 'core': 11}, '139996754736896': {'num_run': 4, 'core': 35}}}","[{'float': [1, 64, 800, 592]}]",0,121241600,122,30310400,CPUExecutionProvider,"[{'float': [1, 64, 400, 296]}]"
13,Node,11178,11178,0,244902,X,MaxPool_nchwc_fence_after,MaxPool,,,,,,,,
14,Node,11178,11178,1,252072,X,FusedConv_nchwc_gme_11_fence_before,Conv,,,,,,,,
15,Node,11178,11178,19570,252079,X,FusedConv_nchwc_gme_11,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 2, 'DistributionEnqueue': 1, 'Run': 19163, 'Wait': 299, 'WaitRevoke': 1}, 'sub_threads': {'139996796700416': {'num_run': 5, 'core': 40}, '139996788307712': {'num_run': 5, 'core': 32}, '139996645697280': {'num_run': 5, 'core': 21}, '139996779915008': {'num_run': 5, 'core': 45}, '139996771522304': {'num_run': 5, 'core': 15}, '139996763129600': {'num_run': 5, 'core': 11}, '139996754736896': {'num_run': 5, 'core': 35}}}","[{'float': [1, 64, 400, 296]}, {'float': [64, 64, 3, 3]}, {'float': [64]}]",147712,30310400,124,30310400,CPUExecutionProvider,"[{'float': [1, 64, 400, 296]}]"
16,Node,11178,11178,0,271658,X,FusedConv_nchwc_gme_11_fence_after,Conv,,,,,,,,
17,Node,11178,11178,0,271668,X,Conv_nchwc_gme_14_fence_before,Conv,,,,,,,,
18,Node,11178,11178,19352,271669,X,Conv_nchwc_gme_14,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 19177, 'Wait': 70, 'WaitRevoke': 1}, 'sub_threads': {'139996796700416': {'num_run': 6, 'core': 40}, '139996788307712': {'num_run': 6, 'core': 32}, '139996645697280': {'num_run': 6, 'core': 21}, '139996779915008': {'num_run': 6, 'core': 45}, '139996771522304': {'num_run': 6, 'core': 15}, '139996763129600': {'num_run': 6, 'core': 11}, '139996754736896': {'num_run': 6, 'core': 35}}}","[{'float': [1, 64, 400, 296]}, {'float': [64, 64, 3, 3]}, {'float': [64]}]",147712,30310400,125,30310400,CPUExecutionProvider,"[{'float': [1, 64, 400, 296]}]"
19,Node,11178,11178,0,291033,X,Conv_nchwc_gme_14_fence_after,Conv,,,,,,,,
20,Node,11178,11178,1,292798,X,Conv_nchwc_fence_before,Conv,,,,,,,,
21,Node,11178,11178,17841,292804,X,Conv_nchwc,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 4, 'DistributionEnqueue': 1, 'Run': 1971, 'Wait': 16, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 7, 'core': 40}, '139996788307712': {'num_run': 7, 'core': 32}, '139996645697280': {'num_run': 7, 'core': 21}, '139996779915008': {'num_run': 7, 'core': 45}, '139996771522304': {'num_run': 7, 'core': 15}, '139996763129600': {'num_run': 7, 'core': 11}, '139996754736896': {'num_run': 7, 'core': 35}}}","[{'float': [1, 64, 400, 296]}, {'float': [64, 64, 1, 1]}, {'float': [64]}, {'float': [1, 64, 400, 296]}]",16640,60620800,123,30310400,CPUExecutionProvider,"[{'float': [1, 64, 400, 296]}]"
22,Node,11178,11178,0,310657,X,Conv_nchwc_fence_after,Conv,,,,,,,,
23,Node,11178,11178,1,315146,X,FusedConv_nchwc_gme_17_fence_before,Conv,,,,,,,,
24,Node,11178,11178,19261,315152,X,FusedConv_nchwc_gme_17,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 18809, 'Wait': 334, 'WaitRevoke': 1}, 'sub_threads': {'139996796700416': {'num_run': 8, 'core': 40}, '139996788307712': {'num_run': 8, 'core': 32}, '139996645697280': {'num_run': 8, 'core': 21}, '139996779915008': {'num_run': 8, 'core': 45}, '139996771522304': {'num_run': 8, 'core': 15}, '139996763129600': {'num_run': 8, 'core': 11}, '139996754736896': {'num_run': 8, 'core': 35}}}","[{'float': [1, 64, 400, 296]}, {'float': [64, 64, 3, 3]}, {'float': [64]}]",147712,30310400,126,30310400,CPUExecutionProvider,"[{'float': [1, 64, 400, 296]}]"
25,Node,11178,11178,0,334426,X,FusedConv_nchwc_gme_17_fence_after,Conv,,,,,,,,
26,Node,11178,11178,0,334433,X,Conv_nchwc_gme_20_fence_before,Conv,,,,,,,,
27,Node,11178,11178,34104,334435,X,Conv_nchwc_gme_20,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 4, 'DistributionEnqueue': 1, 'Run': 16471, 'Wait': 82, 'WaitRevoke': 1}, 'sub_threads': {'139996796700416': {'num_run': 9, 'core': 40}, '139996788307712': {'num_run': 9, 'core': 32}, '139996645697280': {'num_run': 9, 'core': 21}, '139996779915008': {'num_run': 9, 'core': 45}, '139996771522304': {'num_run': 9, 'core': 15}, '139996763129600': {'num_run': 9, 'core': 11}, '139996754736896': {'num_run': 9, 'core': 35}}}","[{'float': [1, 64, 400, 296]}, {'float': [64, 64, 3, 3]}, {'float': [64]}, {'float': [1, 64, 400, 296]}]",147712,60620800,127,30310400,CPUExecutionProvider,"[{'float': [1, 64, 400, 296]}]"
28,Node,11178,11178,0,368551,X,Conv_nchwc_gme_20_fence_after,Conv,,,,,,,,
29,Node,11178,11178,0,368562,X,FusedConv_nchwc_gme_27_fence_before,Conv,,,,,,,,
30,Node,11178,11178,8905,368564,X,FusedConv_nchwc_gme_27,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 8721, 'Wait': 111, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 10, 'core': 40}, '139996788307712': {'num_run': 10, 'core': 32}, '139996645697280': {'num_run': 10, 'core': 21}, '139996779915008': {'num_run': 10, 'core': 45}, '139996771522304': {'num_run': 10, 'core': 15}, '139996763129600': {'num_run': 10, 'core': 11}, '139996754736896': {'num_run': 10, 'core': 35}}}","[{'float': [1, 64, 400, 296]}, {'float': [128, 64, 3, 3]}, {'float': [128]}]",295424,30310400,130,15155200,CPUExecutionProvider,"[{'float': [1, 128, 200, 148]}]"
31,Node,11178,11178,0,377478,X,FusedConv_nchwc_gme_27_fence_after,Conv,,,,,,,,
32,Node,11178,11178,0,377485,X,Conv_nchwc_gme_30_fence_before,Conv,,,,,,,,
33,Node,11178,11178,16721,377492,X,Conv_nchwc_gme_30,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 16490, 'Wait': 171, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 11, 'core': 40}, '139996788307712': {'num_run': 11, 'core': 32}, '139996645697280': {'num_run': 11, 'core': 21}, '139996779915008': {'num_run': 11, 'core': 45}, '139996771522304': {'num_run': 11, 'core': 15}, '139996763129600': {'num_run': 11, 'core': 11}, '139996754736896': {'num_run': 11, 'core': 35}}}","[{'float': [1, 128, 200, 148]}, {'float': [128, 128, 3, 3]}, {'float': [128]}]",590336,15155200,131,15155200,CPUExecutionProvider,"[{'float': [1, 128, 200, 148]}]"
34,Node,11178,11178,0,394244,X,Conv_nchwc_gme_30_fence_after,Conv,,,,,,,,
35,Node,11178,11178,0,394254,X,Reshape_gme_33_fence_before,Reshape,,,,,,,,
36,Node,11178,11178,31,394255,X,Reshape_gme_33,Reshape,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [], 'core': 8, 'Distribution': 0, 'DistributionEnqueue': 0, 'Run': 0, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 11, 'core': 40}, '139996788307712': {'num_run': 11, 'core': 32}, '139996645697280': {'num_run': 11, 'core': 21}, '139996779915008': {'num_run': 11, 'core': 45}, '139996771522304': {'num_run': 11, 'core': 15}, '139996763129600': {'num_run': 11, 'core': 11}, '139996754736896': {'num_run': 11, 'core': 35}}}","[{'float': [1, 128, 200, 148]}, {'int64': [5]}]",40,15155200,133,15155200,CPUExecutionProvider,"[{'float': [1, 16, 200, 148, 8]}]"
37,Node,11178,11178,0,394291,X,Reshape_gme_33_fence_after,Reshape,,,,,,,,
38,Node,11178,11178,0,394293,X,AveragePool_nchwc_fence_before,AveragePool,,,,,,,,
39,Node,11178,11178,517,394294,X,AveragePool_nchwc,AveragePool,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 349, 'Wait': 135, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 12, 'core': 40}, '139996788307712': {'num_run': 12, 'core': 32}, '139996645697280': {'num_run': 12, 'core': 21}, '139996779915008': {'num_run': 12, 'core': 45}, '139996771522304': {'num_run': 12, 'core': 15}, '139996763129600': {'num_run': 12, 'core': 11}, '139996754736896': {'num_run': 12, 'core': 35}}}","[{'float': [1, 64, 400, 296]}]",0,30310400,128,7577600,CPUExecutionProvider,"[{'float': [1, 64, 200, 148]}]"
40,Node,11178,11178,0,394815,X,AveragePool_nchwc_fence_after,AveragePool,,,,,,,,
41,Node,11178,11178,0,394818,X,Conv_nchwc_gme_24_fence_before,Conv,,,,,,,,
42,Node,11178,11178,1294,394819,X,Conv_nchwc_gme_24,Conv,"{'main_thread': {'thread_pool_name': 'intra-op', 'thread_id': '139998972729152', 'block_size': [1], 'core': 8, 'Distribution': 1, 'DistributionEnqueue': 0, 'Run': 1225, 'Wait': 0, 'WaitRevoke': 0}, 'sub_threads': {'139996796700416': {'num_run': 13, 'core': 40}, '139996788307712': {'num_run': 13, 'core': 32}, '139996645697280': {'num_run': 13, 'core': 21}, '139996779915008': {'num_run': 13, 'core': 45}, '139996771522304': {'num_run': 13, 'core': 15}, '139996763129600': {'num_run': 13, 'core': 11}, '139996754736896': {'num_run': 13, 'core': 35}}}","[{'float': [1, 64, 200, 148]}, {'float': [128, 64, 1, 1]}, {'float': [128]}]",33280,7577600,129,15155200,CPUExecutionProvider,"[{'float': [1, 128, 200, 148]}]"
43,Node,11178,11178,0,396120,X,Conv_nchwc_gme_24_fence_after,Conv,,,,,,,,
