C,H,W,K,S,t,R,f,m
256,800,34,4,32,17188,3,2,30432
256,800,34,8,32,27883,3,2,30900
256,800,34,16,32,48776,3,2,31864
256,800,34,24,32,69557,3,2,32792
256,800,34,32,32,88370,3,2,33788
256,800,34,48,32,134615,3,2,35564
256,800,34,64,32,169630,3,2,37564
256,800,34,80,32,209587,3,2,39388
256,800,34,96,32,252627,3,2,41204
256,800,34,4,0,55056,3,1,58456
256,800,34,8,0,53914,3,1,58940
256,800,34,16,0,60112,3,1,60760
256,800,34,24,0,65172,3,1,62472
256,800,34,32,0,72657,3,1,64336
256,800,34,48,0,121274,3,1,67652
256,800,34,64,0,135469,3,1,71056
256,800,34,80,0,182804,3,1,74788
256,800,34,96,0,195148,3,1,78320
256,800,34,512,32,1335821,3,2,90248
256,800,34,512,0,969238,3,1,168672
256,800,34,256,32,668790,3,2,60184
256,800,34,256,0,492832,3,1,112968
256,800,34,384,32,1004308,3,2,75092
256,800,34,384,0,731733,3,1,140964
256,800,34,4,16,10565,3,2,30504
256,800,34,8,16,19820,3,2,30968
256,800,34,16,16,38936,3,2,31964
256,800,34,24,16,57243,3,2,32736
256,800,34,32,16,75621,3,2,33712
256,800,34,48,16,113265,3,2,35576
256,800,34,64,16,150020,3,2,37468
256,800,34,80,16,187735,3,2,39348
256,800,34,96,16,224216,3,2,41392
256,800,34,128,16,300404,3,2,45096
256,800,34,256,16,598961,3,2,60060
256,800,34,384,16,897965,3,2,75116
256,800,34,512,16,1199052,3,2,90244
256,800,34,4,8,10137,3,2,30408
256,800,34,8,8,20170,3,2,30928
256,800,34,16,8,40046,3,2,31912
256,800,34,24,8,59850,3,2,32876
256,800,34,32,8,80038,3,2,33772
256,800,34,48,8,120054,3,2,35724
256,800,34,64,8,158420,3,2,37508
256,800,34,80,8,200183,3,2,39388
256,800,34,96,8,240340,3,2,41228
256,800,34,128,8,321896,3,2,44984
256,800,34,256,8,646526,3,2,60112
256,800,34,384,8,971409,3,2,75312
256,800,34,512,8,1296850,3,2,90260
256,800,34,4,24,14065,3,2,30336
256,800,34,8,24,23935,3,2,31004
256,800,34,16,24,44107,3,2,31876
256,800,34,24,24,64217,3,2,32780
256,800,34,32,24,82258,3,2,33780
256,800,34,48,24,121496,3,2,35712
256,800,34,64,24,160610,3,2,37464
256,800,34,80,24,198934,3,2,39364
256,800,34,96,24,238152,3,2,41376
256,800,34,128,24,315282,3,2,45036
256,800,34,256,24,628658,3,2,60092
256,800,34,384,24,939986,3,2,75248
256,800,34,512,24,1251671,3,2,90288
256,800,34,4,12,9877,3,2,30336
256,800,34,8,12,19548,3,2,31012
256,800,34,16,12,38442,3,2,31844
256,800,34,24,12,57398,3,2,32804
256,800,34,32,12,76476,3,2,33848
256,800,34,48,12,112162,3,2,35604
256,800,34,64,12,150759,3,2,37464
256,800,34,80,12,187845,3,2,39400
256,800,34,96,12,225748,3,2,41228
256,800,34,128,12,301837,3,2,45136
256,800,34,256,12,608837,3,2,60096
256,800,34,384,12,916993,3,2,75188
256,800,34,512,12,1220986,3,2,90236
256,800,34,128,0,256974,3,1,85092
