C,H,W,K,S,t,R,f,m
64,24,34,4,32,80,3,2,10172
64,24,34,4,0,1240,3,1,10172
64,24,34,4,32,74,3,2,10172
64,24,34,512,32,8588,3,2,10172
64,24,34,512,0,8857,3,1,10172
64,24,34,512,16,9281,3,2,10172
64,24,34,512,32,8834,3,2,10172
64,24,34,512,0,8833,3,1,10172
512,24,34,512,0,56812,3,1,27300
512,24,34,512,32,63054,3,2,24260
512,400,298,512,32,30239790,3,2,495176
512,400,298,512,0,8603712,3,1,969324
512,400,34,512,32,1292714,3,2,73852
512,400,34,512,0,958694,3,1,126472
512,400,34,512,16,1180041,3,2,73888
512,400,34,512,0,960576,3,1,126496
512,400,34,512,16,1192375,3,2,73852
512,400,34,512,0,965155,3,1,126360
512,400,34,512,16,2769634,3,2,73856
64,24,34,4,32,98,3,2,3660
64,24,34,4,32,204,3,2,3632
64,24,34,8,32,102,3,2,3656
64,24,34,16,32,222,3,2,3724
64,24,34,24,32,270,3,2,3968
64,24,34,32,32,358,3,2,3976
64,24,34,48,32,510,3,2,4132
64,24,34,64,32,682,3,2,4172
64,24,34,80,32,1468,3,2,4360
64,24,34,96,32,1029,3,2,4504
64,24,34,128,32,1382,3,2,4736
64,24,34,256,32,2669,3,2,5672
64,24,34,384,32,4318,3,2,6484
64,24,34,512,32,5872,3,2,7436
64,24,34,4,0,651,3,1,4144
64,24,34,8,0,1057,3,1,4168
64,24,34,16,0,702,3,1,4264
64,24,34,24,0,1083,3,1,4332
64,24,34,32,0,813,3,1,4416
64,24,34,48,0,981,3,1,4644
64,24,34,64,0,1252,3,1,4712
64,24,34,80,0,1449,3,1,4824
64,24,34,96,0,1428,3,1,5036
64,24,34,128,0,1665,3,1,5316
64,24,34,256,0,2916,3,1,6360
64,24,34,384,0,4011,3,1,7696
64,24,34,512,0,5850,3,1,9012
128,24,34,4,32,121,3,2,3648
128,24,34,8,32,170,3,2,3720
128,24,34,16,32,316,3,2,4204
128,24,34,24,32,452,3,2,4284
128,24,34,32,32,623,3,2,4236
128,24,34,48,32,932,3,2,4480
128,24,34,64,32,1301,3,2,4684
128,24,34,80,32,1582,3,2,4912
128,24,34,96,32,1863,3,2,5120
128,24,34,128,32,2404,3,2,5524
128,24,34,256,32,4821,3,2,7024
128,24,34,384,32,7433,3,2,8512
128,24,34,512,32,9800,3,2,10024
128,24,34,4,0,879,3,1,4524
128,24,34,8,0,929,3,1,4540
128,24,34,16,0,1073,3,1,4528
128,24,34,24,0,1045,3,1,4812
128,24,34,32,0,1111,3,1,4788
128,24,34,48,0,1535,3,1,5216
128,24,34,64,0,1672,3,1,5484
128,24,34,80,0,2132,3,1,5592
128,24,34,96,0,2198,3,1,5900
128,24,34,128,0,2824,3,1,6160
128,24,34,256,0,4770,3,1,7956
128,24,34,384,0,6913,3,1,9808
128,24,34,512,0,9166,3,1,11656
128,240,34,4,32,1057,3,2,7848
128,240,34,8,32,2019,3,2,7992
128,240,34,16,32,3945,3,2,8312
128,240,34,24,32,5661,3,2,8624
128,240,34,32,32,7537,3,2,8912
128,240,34,48,32,11218,3,2,9484
128,240,34,64,32,14941,3,2,10108
128,240,34,80,32,19076,3,2,10684
128,240,34,96,32,22635,3,2,11412
128,240,34,128,32,30724,3,2,12644
128,240,34,256,32,61858,3,2,17544
128,240,34,384,32,90865,3,2,22536
128,240,34,512,32,121327,3,2,27412
128,240,34,4,0,4891,3,1,12180
128,240,34,8,0,4853,3,1,12360
128,240,34,16,0,5460,3,1,12716
128,240,34,24,0,6096,3,1,13252
128,240,34,32,0,7120,3,1,13764
128,240,34,48,0,10416,3,1,15108
128,240,34,64,0,12255,3,1,16140
128,240,34,80,0,15982,3,1,17200
128,240,34,96,0,17710,3,1,18276
128,240,34,128,0,23602,3,1,20392
128,240,34,256,0,43935,3,1,29340
128,240,34,384,0,64489,3,1,38052
